"unigram","bigram","trigram","quadgram","freq"
"consumers","leads","word","mouth",15
"coryell","soon","finished","gig",15
"couple","hours","listening","teamster",15
"crazy","foghat","fan","political",15
"create","wordpress","themes","without",15
"credibility","carry","torch","guys",15
"crime","liked","call","back",15
"curious","exception","tell","inhale",15
"daughter","today","first","time",15
"day","reading","will","skype",15
"day","tomorrow","love","babe",15
"dearest","friends","partner","crime",15
"definitely","big","one","centralfl",15
"demand","something","change","rd",15
"details","metaphors","mornings","ramp",15
"drivers","talk","lack","work",15
"dudes","knox","hester","red",15
"dumb","stuff","boys","typically",15
"ebay","thats","profit","ebay",15
"edited","get","savvy","stemware",15
"english","major","excited","finally",15
"enjoyed","years","university","studying",15
"espn","wifi","hub","let",15
"everything","looks","like","nail",15
"excellent","job","stepping","clutch",15
"exception","tell","inhale","paulo",15
"excited","finally","graduate","start",15
"experience","important","people","meet",15
"experience","watch","ur","vids",15
"extra","innings","sacrificing","present",15
"face","cam","add","experience",15
"family","pleased","welcome","newest",15
"fan","political","twitter","follower",15
"fans","demand","something","change",15
"fans","iconiacz","u","guys",15
"fantasy","football","league","concession",15
"fav","place","know","wants",15
"finally","graduate","start","new",15
"finished","gig","alanis","morissette",15
"finna","text","back","now",15
"first","time","zoo","will",15
"fixing","now","thanks","letting",15
"foghat","fan","political","twitter",15
"follower","go","k","followers",15
"follower","yes","goes","credibility",15
"followers","within","months","whenwillitend",15
"following","since","last","year",15
"football","league","concession","stand",15
"found","sony","nex","camera",15
"friday","make","healthy","day",15
"friends","make","along","way",15
"friends","partner","crime","liked",15
"frys","selling","ebay","thats",15
"fugger","gets","good","seats",15
"fun","watch","amazing","smile",15
"funny","dumb","stuff","boys",15
"generator","create","wordpress","themes",15
"get","savvy","stemware","ladies",15
"get","see","talk","often",15
"get","yer","rochester","rock",15
"gig","alanis","morissette","needless",15
"girls","hearts","one","song",15
"give","sharpened","palate","ecstasy",15
"glad","single","lol","cause",15
"glenn","becks","mouth","another",15
"go","k","followers","within",15
